received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,0.054,0.054,19:6:36,1,0.054
1,192.168.123.2,0.000,0,0.060,0.060,19:6:37,1,0.060
1,192.168.123.2,0.000,0,0.055,0.055,19:6:38,1,0.055
1,192.168.123.2,0.000,0,0.051,0.051,19:6:39,1,0.051
1,192.168.123.2,0.000,0,0.054,0.054,19:6:40,1,0.054
1,192.168.123.2,0.000,0,0.071,0.071,19:6:41,1,0.071
1,192.168.123.2,0.000,0,0.051,0.051,19:6:42,1,0.051
1,192.168.123.2,0.000,0,0.049,0.049,19:6:43,1,0.049
1,192.168.123.2,0.000,0,0.053,0.053,19:6:44,1,0.053
1,192.168.123.2,0.000,0,0.050,0.050,19:6:45,1,0.050
1,192.168.123.2,0.000,0,0.052,0.052,19:6:46,1,0.052
1,192.168.123.2,0.000,0,0.053,0.053,19:6:47,1,0.053
1,192.168.123.2,0.000,0,0.052,0.052,19:6:48,1,0.052
1,192.168.123.2,0.000,0,0.088,0.088,19:6:49,1,0.088
1,192.168.123.2,0.000,0,0.079,0.079,19:6:50,1,0.079
1,192.168.123.2,0.000,0,0.098,0.098,19:6:51,1,0.098
1,192.168.123.2,0.000,0,0.086,0.086,19:6:52,1,0.086
1,192.168.123.2,0.000,0,0.080,0.080,19:6:53,1,0.080
1,192.168.123.2,0.000,0,0.059,0.059,19:6:54,1,0.059
1,192.168.123.2,0.000,0,0.087,0.087,19:6:55,1,0.087
1,192.168.123.2,0.000,0,0.085,0.085,19:6:56,1,0.085
1,192.168.123.2,0.000,0,0.112,0.112,19:6:57,1,0.112
1,192.168.123.2,0.000,0,0.058,0.058,19:6:58,1,0.058
1,192.168.123.2,0.000,0,0.093,0.093,19:6:59,1,0.093
1,192.168.123.2,0.000,0,0.053,0.053,19:7:0,1,0.053
1,192.168.123.2,0.000,0,0.052,0.052,19:7:1,1,0.052
1,192.168.123.2,0.000,0,0.054,0.054,19:7:2,1,0.054
1,192.168.123.2,0.000,0,0.051,0.051,19:7:3,1,0.051
1,192.168.123.2,0.000,0,0.051,0.051,19:7:4,1,0.051
1,192.168.123.2,0.000,0,0.065,0.065,19:7:5,1,0.065
1,192.168.123.2,0.000,0,0.072,0.072,19:7:6,1,0.072
1,192.168.123.2,0.000,0,0.051,0.051,19:7:7,1,0.051
1,192.168.123.2,0.000,0,0.054,0.054,19:7:8,1,0.054
1,192.168.123.2,0.000,0,0.073,0.073,19:7:9,1,0.073
1,192.168.123.2,0.000,0,0.107,0.107,19:7:10,1,0.107
1,192.168.123.2,0.000,0,0.079,0.079,19:7:11,1,0.079
1,192.168.123.2,0.000,0,0.054,0.054,19:7:12,1,0.054
1,192.168.123.2,0.000,0,0.076,0.076,19:7:13,1,0.076
1,192.168.123.2,0.000,0,0.091,0.091,19:7:14,1,0.091
1,192.168.123.2,0.000,0,0.061,0.061,19:7:15,1,0.061
1,192.168.123.2,0.000,0,0.079,0.079,19:7:16,1,0.079
1,192.168.123.2,0.000,0,0.090,0.090,19:7:17,1,0.090
1,192.168.123.2,0.000,0,0.074,0.074,19:7:18,1,0.074
1,192.168.123.2,0.000,0,0.050,0.050,19:7:19,1,0.050
1,192.168.123.2,0.000,0,0.049,0.049,19:7:20,1,0.049
1,192.168.123.2,0.000,0,0.050,0.050,19:7:22,1,0.050
1,192.168.123.2,0.000,0,0.052,0.052,19:7:23,1,0.052
1,192.168.123.2,0.000,0,0.076,0.076,19:7:24,1,0.076
1,192.168.123.2,0.000,0,0.095,0.095,19:7:25,1,0.095
1,192.168.123.2,0.000,0,0.056,0.056,19:7:26,1,0.056
1,192.168.123.2,0.000,0,0.057,0.057,19:7:27,1,0.057
1,192.168.123.2,0.000,0,0.053,0.053,19:7:28,1,0.053
1,192.168.123.2,0.000,0,0.060,0.060,19:7:29,1,0.060
1,192.168.123.2,0.000,0,0.056,0.056,19:7:30,1,0.056
1,192.168.123.2,0.000,0,0.049,0.049,19:7:31,1,0.049
1,192.168.123.2,0.000,0,0.089,0.089,19:7:32,1,0.089
